"brand","model","model_year","milage","fuel_type","engine","transmission","ext_col","int_col","accident","clean_title","price"
"Jeep","Wrangler Rubicon Hard Rock","2016","67,882 mi.","Gasoline","3.6 Liter","Automatic","White","Black","None reported","No",32798
"Volvo","XC90 T6 Momentum","2018","62,000 mi.","Gasoline","316.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","8-Speed A/T","Silver","Black","None reported","Yes",30500
"Porsche","911 R","2016","12,454 mi.","Gasoline","500.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel","6-Speed M/T","Purple","Black","None reported","Yes",210000
"BMW","M6 Gran Coupe Base","2017","27,965 mi.","Gasoline","560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel","7-Speed A/T","Green","Black","None reported","Yes",58000
"Cadillac","Escalade ESV Platinum Edition","2013","119,000 mi.","E85 Flex Fuel","403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability","A/T","Black","Black","None reported","No",20500
"BMW","X5 xDrive35i","2018","48,000 mi.","Gasoline","300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Black","None reported","Yes",32000
"BMW","X5 xDrive40i","2020","5,541 mi.","Gasoline","3.0 Liter Turbo","Automatic","White","Black","None reported","No",56598
"Mitsubishi","Outlander SEL","2018","29,000 mi.","Gasoline","166.0HP 2.4L 4 Cylinder Engine Gasoline Fuel","A/T","Red","Beige","None reported","Yes",19500
"Dodge","Ram 1500 ST","2010","131,100 mi.","E85 Flex Fuel","310.0HP 4.7L 8 Cylinder Engine Flex Fuel Capability","A/T","White","Gray","At least 1 accident or damage reported","Yes",12995
"Subaru","Impreza 2.0i","2015","102,242 mi.","Gasoline","2L H-4 DOHC, variable valve control, regular unleaded, engine wi","Manual","Quartz Blue Pearl","Black","At least 1 accident or damage reported","No",11498
"Mercedes-Benz","Maybach S S 600","2016","18,069 mi.","Gasoline","523.0HP 6.0L 12 Cylinder Engine Gasoline Fuel","7-Speed A/T","Black","Black","None reported","Yes",79999
"Kia","Sportage LX","2023","13,000 mi.","Gasoline","187.0HP 2.5L 4 Cylinder Engine Gasoline Fuel","A/T","White","Black","None reported","Yes",31900
"Porsche","911 Turbo Cabriolet","2008","51,000 mi.","Gasoline","480.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Silver","Black","At least 1 accident or damage reported","Yes",69500
"Hummer","H3 Base","2007","137,333 mi.","Gasoline","242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel","4-Speed A/T","Blue","Black","At least 1 accident or damage reported","Yes",10000
"Buick","LaCrosse Leather","2014","125,559 mi.","Gasoline","304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","A/T","White","Beige","At least 1 accident or damage reported","Yes",11200
"Chevrolet","Silverado 1500 High Country","2020","88,161 mi.","Gasoline","6.2L V8 16V GDI OHV","Automatic","Iridescent Pearl Tricoat","Jet Black","At least 1 accident or damage reported","Yes",48889
"Toyota","4Runner SR5","2016","101,900 mi.","Gasoline","270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel","5-Speed A/T","Black","Black","None reported","Yes",29000
"Cadillac","Escalade ESV Luxury","2015","159,500 mi.","Gasoline","420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","6-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",18800
"Subaru","Legacy 2.5i Premium","2015","68,860 mi.","Gasoline","175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel","CVT Transmission","Silver","Beige","At least 1 accident or damage reported","Yes",15000
"Tesla","Model 3 Long Range","2018","43,000 mi.","Other","271.0HP Electric Motor Electric Fuel System","1-Speed A/T","Red","Black","At least 1 accident or damage reported","Yes",30499
"Ford","Expedition EL XLT","2017","182,000 mi.","Gasoline","365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","Black","Black","At least 1 accident or damage reported","Yes",16500
"Tesla","Model Y Long Range","2022","21,404 mi.","Other","425.0HP Electric Motor Electric Fuel System","A/T","White","White","None reported","Yes",49500
"Ford","Expedition EL Limited","2017","81,000 mi.","Gasoline","365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",27000
"Chevrolet","Silverado 1500 LTZ","2021","62,257 mi.","Gasoline","5.3L V8 16V GDI OHV","8-Speed Automatic","Satin Steel Metallic","Gideon","None reported","No",42590
"BMW","X5 xDrive40e","2016","91,798 mi.","Hybrid","Electric","Automatic","Alpine White","Black","None reported","No",22998
"BMW","335 is","2011","82,000 mi.","Gasoline","320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","7-Speed A/T","Gray","Black","At least 1 accident or damage reported","Yes",20000
"Ford","F-150 XLT","2012","207,100 mi.","Gasoline","365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Black","Gray","At least 1 accident or damage reported","Yes",15000
"Land","Rover Range Rover Sport P400 SE Dynamic","2023","450 mi.","Hybrid","395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid","8-Speed A/T","Blue","Black","None reported","Yes",124000
"Porsche","Panamera Edition","2016","77,945 mi.","Gasoline","310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","A/T","Blue","Beige","At least 1 accident or damage reported","Yes",30000
"Kia","Sorento Plug-In Hybrid SX","2022","15,583 mi.","Hybrid","1.6L I4 16V GDI DOHC Turbo Hybrid","6-Speed Automatic","Aurora Black","Gray","None reported","No",40599
"BMW","M240 i","2017","37,100 mi.","Gasoline","335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","8-Speed A/T","White","Black","At least 1 accident or damage reported","Yes",26125
"Maserati","Quattroporte Base","2006","51,000 mi.","Gasoline","394.0HP 4.2L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Blue","Beige","At least 1 accident or damage reported","Yes",18000
"Ford","F-150 XLT","2017","94,000 mi.","Gasoline","325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","White","Black","None reported","Yes",26000
"Land","Rover Discovery S","2003","121,886 mi.","Gasoline","217.0HP 4.6L 8 Cylinder Engine Gasoline Fuel","A/T","White","Beige","At least 1 accident or damage reported","Yes",6000
"Ford","F-250 XLT Crew Cab Super Duty","2008","157,500 mi.","Gasoline","300.0HP 5.4L 8 Cylinder Engine Gasoline Fuel","5-Speed A/T","Green","Gray","At least 1 accident or damage reported","Yes",15000
"Ford","Taurus SHO","2014","138,415 mi.","Gasoline","365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","Silver","Black","At least 1 accident or damage reported","Yes",15500
"Land","Rover Range Rover Sport HSE","2012","110,000 mi.","Gasoline","375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","A/T","Silver","Black","None reported","Yes",10200
"Cadillac","Escalade Sport","2023","8,532 mi.","Diesel","3.0L I6 24V DDI DOHC Turbo Diesel","10-Speed Automatic with Overdrive","Black Raven","Jet Black","None reported","No",109900
"GMC","Sierra 1500 SLT","2021","12,941 mi.","Gasoline","355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel","A/T","White","Black","At least 1 accident or damage reported","Yes",51500
"BMW","335 i xDrive","2009","69,764 mi.","Gasoline","300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","6-Speed M/T","Black","Black","None reported","Yes",19500
"Porsche","911 Carrera 4S","2003","90,000 mi.","Gasoline","315.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel","6-Speed M/T","Silver","Black","None reported","No",24000
"Audi","Q5 S line Premium","2022","8,193 mi.","Hybrid","2.0 Liter TFSI","Automatic","Florett Silver","Black","None reported","No",42598
"Lexus","RX 350 F Sport Performance","2020","43,277 mi.","Gasoline","3.5L V6 24V PDI DOHC","8-Speed Automatic","Caviar","Black","None reported","No",43599
"Audi","S4 3.0T Premium Plus","2018","26,500 mi.","Gasoline","354.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Gray","Black","At least 1 accident or damage reported","Yes",38000
"Chevrolet","Silverado 1500 LT","2019","36,021 mi.","Gasoline","2.7L I4 16V GDI DOHC Turbo","Automatic","Cajun Red Tintcoat","Jet Black","None reported","No",35670
"Chevrolet","Colorado Z71","2019","25,462 mi.","Gasoline","3.6L V6 24V GDI DOHC","Automatic","Shadow Gray Metallic","Jet Black","None reported","No",36139
"Audi","A5 2.0T Prestige","2018","35,850 mi.","Gasoline","252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","7-Speed A/T","White","Black","None reported","Yes",33000
"Mazda","Mazda3 s Sport","2008","77,700 mi.","Gasoline","156.0HP 2.3L 4 Cylinder Engine Gasoline Fuel","5-Speed M/T","Red","Black","None reported","Yes",6300
"Jaguar","E-PACE 300 Sport","2021","23,600 mi.","Hybrid","296.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid","9-Speed A/T","Black","Black","None reported","Yes",42999
"Ferrari","GTC4Lusso T","2019","8,870 mi.","Gasoline","3.9L V8 32V GDI DOHC Twin Turbo","7-Speed DCT Automatic","Nero Daytona","–","None reported","Yes",215000
"Toyota","Celica GT","2001","122,000 mi.","Gasoline","140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel","5-Speed M/T","Blue","Gray","None reported","Yes",7800
"Ford","Excursion Limited 4WD","2003","245,000 mi.","Diesel","325.0HP 6.0L 8 Cylinder Engine Diesel Fuel","A/T","Black","Beige","At least 1 accident or damage reported","Yes",17999
"Porsche","718 Spyder Base","2022","4,700 mi.","Gasoline","414.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel","6-Speed M/T","White","Black","None reported","Yes",134000
"Subaru","WRX STI Base","2016","84,100 mi.","Gasoline","305.0HP 2.5L 4 Cylinder Engine Gasoline Fuel","M/T","Gray","Black","None reported","Yes",34000
"Audi","A6 45 Premium Plus","2021","33,000 mi.","Hybrid","248.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid","A/T","Black","Black","None reported","Yes",40000
"Tesla","Model S P100D","2018","10,065 mi.","Other","Electric","1-Speed Automatic","Red Multi","White","None reported","No",59999
"Mercedes-Benz","AMG GT R","2018","3,811 mi.","Gasoline","577.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","7-Speed A/T","Black","Black","None reported","Yes",148500
"Acura","RDX PMC Edition","2021","44,457 mi.","Gasoline","2.0 Liter Turbo","2","Majestic Black Pearl","Ebony","None reported","No",40598
"Audi","S4 3.0T Premium Plus","2013","139,355 mi.","Gasoline","333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","7-Speed A/T","Black","Black","None reported","Yes",20900
"Lotus","Evora Base","2010","9,100 mi.","Gasoline","276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","6-Speed M/T","Black","White","None reported","Yes",55000
"Mercedes-Benz","S-Class S 560 4MATIC","2019","10,500 mi.","Gasoline","463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","9-Speed A/T","Silver","Brown","None reported","Yes",77900
"Chevrolet","Silverado 1500 RST","2023","5,006 mi.","Gasoline","5.3L V8 16V GDI OHV","10-Speed Automatic","Dark Ash Metallic","Black","None reported","No",59590
"Hyundai","Genesis Coupe 2.0T R-Spec","2013","55,000 mi.","Gasoline","260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","6-Speed M/T","White","Red","None reported","No",18000
"BMW","M3 Competition","2021","33,500 mi.","Gasoline","503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Gray","Black","None reported","Yes",71000
"BMW","435 i","2014","126,500 mi.","Gasoline","300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","A/T","White","Black","None reported","Yes",15000
"Land","Rover Range Rover Evoque HSE Dynamic","2016","79,000 mi.","Gasoline","240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","9-Speed A/T","Red","Red","None reported","Yes",24000
"Porsche","911 Targa 4 GTS","2018","19,000 mi.","Gasoline","450.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel","7-Speed A/T","Gray","Black","None reported","Yes",145000
"RAM","3500 Tradesman","2021","57,000 mi.","Diesel","400.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel","6-Speed A/T","Blue","Gray","None reported","Yes",52000
"BMW","X5 xDrive40i","2020","4,880 mi.","Gasoline","3.0 Liter Turbo","Automatic","White","Black","None reported","No",57998
"Acura","NSX Base","2018","6,523 mi.","Hybrid","3.5L V6 24V PDI DOHC Twin Turbo Hybrid","9-Speed Automatic with Auto-Shift","White","Ebony","None reported","No",143900
"Mercedes-Benz","SL-Class SL500 Roadster","2005","127,000 mi.","Gasoline","302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","7-Speed A/T","White","Beige","None reported","Yes",14000
"Lexus","SC 430 Base","2002","89,500 mi.","Gasoline","300.0HP 4.3L 8 Cylinder Engine Gasoline Fuel","A/T","Black","Black","None reported","Yes",15999
"Chevrolet","Silverado 1500 Base","2000","97,000 mi.","Gasoline","200.0HP 4.3L V6 Cylinder Engine Gasoline Fuel","A/T","White","Gray","None reported","Yes",27500
"Buick","Enclave Avenir","2021","31,181 mi.","Gasoline","3.6L V6 24V GDI DOHC","9-Speed Automatic","Rich Garnet Metallic","Chestnut","At least 1 accident or damage reported","Yes",42442
"Lexus","NX 300h Base","2020","16,425 mi.","Hybrid","2.5L I4 16V MPFI DOHC Hybrid","Automatic CVT","Gray","Black","At least 1 accident or damage reported","No",33200
"Lexus","RX 350 RX 350 F SPORT Handling","2022","11,238 mi.","Gasoline","3.5 Liter DOHC","Automatic","Atomic Silver","Black","None reported","No",54798
"Chevrolet","Avalanche 1500 LS","2005","97,146 mi.","E85 Flex Fuel","295.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability","Transmission Overdrive Switch","Black","Gray","At least 1 accident or damage reported","Yes",7999
"Mercedes-Benz","SL-Class SL400","2015","36,670 mi.","Gasoline","3.0 Liter","Automatic","White","Tan","None reported","No",39998
"Chevrolet","Suburban Premier","2019","44,800 mi.","Gasoline","420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","6-Speed A/T","Black","Black","None reported","Yes",52500
"Ford","Transit-350 Base","2015","150,000 mi.","Gasoline","310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","Black","Gray","At least 1 accident or damage reported","Yes",17100
"INFINITI","QX60 Luxe","2020","38,400 mi.","Gasoline","295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","Blue","Beige","None reported","Yes",32100
"Bentley","Continental GTC Base","2008","7,960 mi.","Gasoline","552.0HP 6.0L 12 Cylinder Engine Gasoline Fuel","6-Speed A/T","White","White","None reported","Yes",81500
"Nissan","350Z Enthusiast","2007","117,000 mi.","Gasoline","306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","Silver","Black","At least 1 accident or damage reported","Yes",9975
"Rivian","R1S Adventure Package","2023","159 mi.","Other","533.0HP Electric Motor Electric Fuel System","A/T","White","Black","None reported","Yes",95500
"McLaren","570S Base","2017","30,200 mi.","Gasoline","562.0HP 3.8L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Orange","Black","None reported","Yes",139000
"Nissan","Altima 2.5 SL","2012","91,545 mi.","Gasoline","175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel","CVT Transmission","Silver","Black","None reported","Yes",8999
"Land","Rover Range Rover 5.0L Supercharged","2015","110,000 mi.","E85 Flex Fuel","510.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability","A/T","Black","–","At least 1 accident or damage reported","Yes",26499
"BMW","X5 xDrive35i","2017","105,100 mi.","Gasoline","300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Gray","Black","At least 1 accident or damage reported","Yes",23300
"INFINITI","QX56 Base","2012","110,000 mi.","Gasoline","400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","White","Beige","None reported","Yes",15600
"Ford","F-150 XLT","2019","81,778 mi.","Gasoline","3.5L V6 24V PDI DOHC Twin Turbo","Automatic","Black","Medium Earth Gray","None reported","Yes",32769
"Lexus","RX 450h Base","2010","168,422 mi.","Hybrid","245.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid","A/T","Black","Beige","At least 1 accident or damage reported","Yes",10900
"Maserati","Ghibli S Q4 GranSport","2018","80,500 mi.","Gasoline","424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Black","None reported","Yes",34900
"Volvo","XC90 T6 Momentum","2018","81,200 mi.","Gasoline","316.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",28825
"Lamborghini","Huracan EVO Base","2020","6,246 mi.","Gasoline","5.2L V10 40V GDI DOHC","7-Speed Automatic with Auto-Shift","Nero Noctis","Nero Ade","None reported","Yes",267950
"Jeep","Wrangler Unlimited Rubicon","2017","20,172 mi.","Gasoline","285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Gray","Black","None reported","Yes",47500
"Hummer","H2 Base","2005","145,000 mi.","Gasoline","325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel","4-Speed A/T","Green","Black","None reported","Yes",22500
"Ford","Flex Limited","2009","162,000 mi.","Gasoline","262.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Gray","Black","At least 1 accident or damage reported","Yes",7500
"Porsche","718 Cayman GT4","2020","13,554 mi.","Gasoline","414.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel","6-Speed M/T","Blue","Black","None reported","Yes",124995
"Toyota","Camry XLE","2007","59,700 mi.","Gasoline","268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Green","Gray","None reported","Yes",9500
"Mercedes-Benz","A-Class A 220 4MATIC","2020","30,930 mi.","Gasoline","2.0L I4 16V GDI DOHC Turbo","7-Speed Automatic with Auto-Shift","Midnight Black","Black","None reported","No",28900
"BMW","335 i","2009","51,983 mi.","Gasoline","300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","6-Speed M/T","Gray","White","None reported","Yes",19999
"Chevrolet","Camaro 2SS","2022","22,000 mi.","Gasoline","455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","6-Speed M/T","Blue","Black","None reported","Yes",50000
"Volkswagen","ID.4 Pro S","2023","16,800 mi.","Other","295.0HP Electric Motor Electric Fuel System","1-Speed A/T","Gray","Black","None reported","Yes",45000
"Chevrolet","Silverado 2500 High Country","2022","16,000 mi.","Diesel","445.0HP 6.6L 8 Cylinder Engine Diesel Fuel","A/T","Black","Black","At least 1 accident or damage reported","Yes",73995
"Nissan","Altima 2.5 SV","2020","22,295 mi.","Gasoline","2.5L I4 16V GDI DOHC","Automatic CVT","Scarlet Ember","Gray","None reported","No",23599
"Bentley","Continental GT V8","2020","33,000 mi.","Gasoline","542.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","A/T","Beige","Beige","None reported","Yes",188500
"Toyota","Sequoia Platinum","2023","1,025 mi.","Hybrid","437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid","10-Speed A/T","Black","Black","None reported","Yes",85000
"Acura","TL Technology","2013","89,190 mi.","Gasoline","305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Gray","White","At least 1 accident or damage reported","Yes",15499
"Toyota","Highlander Limited","2020","53,550 mi.","Gasoline","3.5L V6 24V PDI DOHC","8-Speed Automatic","Blue","Gray","None reported","Yes",39687
"Ford","Edge SEL","2021","56,946 mi.","Gasoline","2.0L I4 16V GDI DOHC Turbo","8-Speed Automatic","Silver","Ebony","None reported","Yes",26299
"Jaguar","F-TYPE R","2016","11,684 mi.","Gasoline","550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Black","None reported","Yes",54900
"GMC","Yukon XL Denali","2018","45,617 mi.","Gasoline","420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","A/T","White","Gray","None reported","Yes",51000
"Chevrolet","Suburban LT","2018","75,466 mi.","Gasoline","355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel","6-Speed A/T","Gray","Black","None reported","Yes",34500
"Maserati","Levante GTS","2021","19,513 mi.","Gasoline","3.8L V8 32V GDI DOHC Twin Turbo","8-Speed Automatic","Black","Red / Black","At least 1 accident or damage reported","Yes",84645
"Subaru","Outback Limited","2021","15,636 mi.","Gasoline","2.5L H4 16V GDI DOHC","Automatic CVT","Crystal Black Silica","Black","None reported","No",33531
"Mercedes-Benz","S-Class S 450","2018","69,600 mi.","Gasoline","362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","9-Speed A/T","Black","Black","None reported","Yes",40888
"Mercedes-Benz","GL-Class GL 450","2011","138,050 mi.","Gasoline","335.0HP 4.7L 8 Cylinder Engine Gasoline Fuel","A/T","White","Beige","None reported","Yes",16500
"Ford","F-250 Lariat","2017","132,269 mi.","E85 Flex Fuel","385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability","A/T","Gray","Black","None reported","Yes",35900
"Hyundai","Palisade Limited","2020","45,815 mi.","Gasoline","291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Silver","Black","None reported","Yes",37700
"Ford","F-150 XLT","2021","25,352 mi.","Gasoline","3.5L V6 24V PDI DOHC Twin Turbo","10-Speed Automatic","Gray","Black","None reported","Yes",48459
"Mercedes-Benz","R-Class R 350 4MATIC","2008","120,000 mi.","Gasoline","268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","7-Speed A/T","Silver","Black","None reported","Yes",8995
"Chevrolet","Camaro 2SS","2018","75,151 mi.","Gasoline","455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","6-Speed M/T","Gray","Black","At least 1 accident or damage reported","Yes",45000
"Jeep","Wrangler Sport","2016","74,139 mi.","Gasoline","285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","6-Speed M/T","Red","Black","None reported","Yes",23000
"Chevrolet","1500 Cheyenne","1994","170,443 mi.","–","–","A/T","Red","–","At least 1 accident or damage reported","Yes",6000
"Jaguar","XJ6 Vanden Plas","1995","70,000 mi.","–","–","A/T","Gold","–","None reported","Yes",19000
"BMW","550 i xDrive","2012","68,500 mi.","Gasoline","400.0HP 4.4L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",17800
"Lexus","GX 460 Luxury","2020","37,366 mi.","Gasoline","4.6L V8 32V MPFI DOHC","6-Speed Automatic","White","–","None reported","No",51890
"Tesla","Model S Long Range","2021","35,315 mi.","Other","670.0HP Electric Motor Electric Fuel System","1-Speed A/T","White","Black","None reported","Yes",66900
"Volkswagen","Jetta 1.4T SE","2017","61,000 mi.","Gasoline","150.0HP 1.4L 4 Cylinder Engine Gasoline Fuel","A/T","White","Black","None reported","Yes",15995
"Jeep","Grand Cherokee Limited","2022","12,050 mi.","Gasoline","3.6L V6 24V MPFI DOHC","8-Speed Automatic","Bright White Clearcoat","Global Black","None reported","No",41599
"Jaguar","XK8 Base","2001","150,000 mi.","Gasoline","290.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","5-Speed A/T","Green","White","At least 1 accident or damage reported","Yes",9875
"Porsche","Macan S","2016","46,200 mi.","Gasoline","340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Gray","Gray","At least 1 accident or damage reported","Yes",41500
"Mercedes-Benz","E-Class E 350","2014","88,000 mi.","Gasoline","302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","Silver","Black","None reported","Yes",15500
"Mercedes-Benz","GL-Class GL 450 4MATIC","2015","47,000 mi.","Gasoline","362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","7-Speed A/T","Silver","Black","None reported","Yes",30089
"Land","Rover Range Rover 3.0L Supercharged HSE","2017","50,340 mi.","Gasoline","380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","White","Beige","At least 1 accident or damage reported","Yes",47000
"Mercedes-Benz","E-Class E 350 4MATIC","2010","67,800 mi.","Gasoline","268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","7-Speed A/T","Black","Black","None reported","Yes",13999
"Dodge","Dakota Sport","2002","150,000 mi.","Gasoline","175.0HP 3.9L V6 Cylinder Engine Gasoline Fuel","5-Speed M/T","Black","Gray","At least 1 accident or damage reported","Yes",5500
"Chevrolet","Camaro ZL1","2018","13,500 mi.","Gasoline","650.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","6-Speed M/T","Black","Black","At least 1 accident or damage reported","Yes",54000
"Hummer","H3 Base","2007","101,750 mi.","Gasoline","242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel","A/T","White","Black","None reported","Yes",12900
"Honda","Odyssey EX-L","2022","18,385 mi.","Gasoline","280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","10-Speed A/T","Red","Beige","None reported","Yes",37950
"Nissan","350Z Touring","2008","123,500 mi.","Gasoline","306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","5-Speed A/T","Gray","Beige","At least 1 accident or damage reported","Yes",13500
"GMC","Savana 2500 Work Van","2017","117,000 mi.","E85 Flex Fuel","342.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability","6-Speed A/T","Silver","Silver","None reported","Yes",38000
"Mercedes-Benz","E-Class E 350 4MATIC","2010","86,121 mi.","Gasoline","268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","7-Speed A/T","Gray","Black","None reported","Yes",13600
"Lexus","GX 460 Premium","2020","22,466 mi.","Gasoline","301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel","6-Speed A/T","White","Black","None reported","Yes",45900
"Nissan","Titan XD SV","2017","80,000 mi.","Gasoline","390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel","7-Speed A/T","Silver","Black","None reported","Yes",23800
"Chrysler","300 Touring","2020","23,152 mi.","Gasoline","292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","White","White","None reported","Yes",28250
"Dodge","Charger R/T","2006","91,300 mi.","Gasoline","350.0HP 5.7L 8 Cylinder Engine Gasoline Fuel","5-Speed A/T","Yellow","–","None reported","Yes",9200
"Nissan","Pathfinder SL","2020","45,000 mi.","Gasoline","284.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","CVT Transmission","Black","Black","None reported","Yes",28999
"Rivian","R1S Launch Edition","2023","1,885 mi.","Other","835.0HP Electric Motor Electric Fuel System","1-Speed A/T","Green","White","None reported","Yes",93500
"Ford","Explorer Platinum","2018","73,049 mi.","Gasoline","3.5L V6 24V GDI DOHC Twin Turbo","6-Speed Automatic","Gray","Ebony Black","At least 1 accident or damage reported","Yes",30510
"Nissan","Titan SV","2021","7,250 mi.","Gasoline","400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel","9-Speed A/T","Black","Black","None reported","Yes",38000
"Jaguar","E-PACE S","2019","44,000 mi.","Gasoline","246.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","Black","Black","None reported","Yes",29000
"Ford","F-150 FX4","2014","85,500 mi.","Gasoline","411.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",26900
"GMC","Acadia Denali","2021","18,083 mi.","Gasoline","3.6L V6 24V GDI DOHC","9-Speed Automatic","Ebony Twilight Metallic","Jet Black","None reported","Yes",43999
"Lamborghini","Murcielago Base","2005","22,703 mi.","Gasoline","571.0HP 6.2L 12 Cylinder Engine Gasoline Fuel","M/T","Black","Black","None reported","Yes",220000
